"Usage type","EUW2-NatGateway-Hours($)","AFS1-EBS:VolumeUsage.gp2($)","EUW2-EBS:VolumeUsage.gp3($)","APS3-DataTransfer-Regional-Bytes($)","APS3-EBS:VolumeUsage.gp3($)","APS3-EBS:VolumeUsage.gp2($)","AFS1-EBS:VolumeUsage.gp3($)","APS3-CPUCredits:t3($)","AFS1-DataTransfer-Regional-Bytes($)","EUW2-DataTransfer-Regional-Bytes($)","AFS1-EUW2-AWS-Out-Bytes($)","EUW2-APS3-AWS-Out-Bytes($)","EUW2-AFS1-AWS-Out-Bytes($)","APS3-EUW2-AWS-Out-Bytes($)","APS3-USE1-AWS-Out-Bytes($)","APS3-USW2-AWS-Out-Bytes($)","AFS1-USW2-AWS-Out-Bytes($)","APS3-EU-AWS-Out-Bytes($)","AFS1-USE1-AWS-Out-Bytes($)","EUW2-USE1-AWS-Out-Bytes($)","EUW2-USW2-AWS-Out-Bytes($)","AFS1-USE2-AWS-Out-Bytes($)","APS3-USE2-AWS-Out-Bytes($)","EUW2-USE2-AWS-Out-Bytes($)","AFS1-EU-AWS-Out-Bytes($)","EUW2-NatGateway-Bytes($)","EUW2-APN2-AWS-Out-Bytes($)","EUW2-EU-AWS-Out-Bytes($)","EUW2-APS2-AWS-Out-Bytes($)","EUW2-EUC1-AWS-Out-Bytes($)","EUW2-APS1-AWS-Out-Bytes($)","EUW2-CAN1-AWS-Out-Bytes($)","APS3-USW1-AWS-Out-Bytes($)","EUW2-USW1-AWS-Out-Bytes($)","APS3-EUC1-AWS-Out-Bytes($)","APS3-APS2-AWS-Out-Bytes($)","APS3-APN1-AWS-Out-Bytes($)","AFS1-CAN1-AWS-Out-Bytes($)","AFS1-APS1-AWS-Out-Bytes($)","AFS1-EUC1-AWS-Out-Bytes($)","AFS1-APS3-AWS-Out-Bytes($)","AFS1-APN1-AWS-Out-Bytes($)","APS3-APS1-AWS-Out-Bytes($)","APS3-CAN1-AWS-Out-Bytes($)","APS3-CHI1-AWS-Out-Bytes($)","AFS1-APS2-AWS-Out-Bytes($)","EUW2-APN1-AWS-Out-Bytes($)","AFS1-APS6-AWS-Out-Bytes($)","APS3-NYC1-AWS-Out-Bytes($)","AFS1-USW1-AWS-Out-Bytes($)","AFS1-APN2-AWS-Out-Bytes($)","APS3-APN3-AWS-Out-Bytes($)","EUW2-SAE1-AWS-Out-Bytes($)","EUW2-APS7-AWS-Out-Bytes($)","AFS1-CAN1-AWS-In-Bytes($)","AFS1-EBSOptimized:t3.medium($)","AFS1-EU-AWS-In-Bytes($)","AFS1-USE1-AWS-In-Bytes($)","AFS1-USE2-AWS-In-Bytes($)","AFS1-USW2-AWS-In-Bytes($)","APS3-APS1-AWS-In-Bytes($)","APS3-APS2-AWS-In-Bytes($)","APS3-CAN1-AWS-In-Bytes($)","APS3-EBSOptimized:t3.medium($)","APS3-EU-AWS-In-Bytes($)","APS3-EUW2-AWS-In-Bytes($)","APS3-USE1-AWS-In-Bytes($)","APS3-USE2-AWS-In-Bytes($)","APS3-USW2-AWS-In-Bytes($)","EUW2-APS1-AWS-In-Bytes($)","EUW2-APS2-AWS-In-Bytes($)","EUW2-APS3-AWS-In-Bytes($)","EUW2-CAN1-AWS-In-Bytes($)","EUW2-EBSOptimized:t3.medium($)","EUW2-EU-AWS-In-Bytes($)","EUW2-EUC1-AWS-In-Bytes($)","EUW2-EUW3-AWS-In-Bytes($)","EUW2-USE1-AWS-In-Bytes($)","EUW2-USE2-AWS-In-Bytes($)","EUW2-USW1-AWS-In-Bytes($)","EUW2-USW2-AWS-In-Bytes($)","AFS1-APS1-AWS-In-Bytes($)","AFS1-APS2-AWS-In-Bytes($)","AFS1-EUC1-AWS-In-Bytes($)","AFS1-EUW2-AWS-In-Bytes($)","APS3-EUC1-AWS-In-Bytes($)","EUW2-APE2-AWS-In-Bytes($)","EUW2-APN1-AWS-In-Bytes($)","EUW2-EUN1-AWS-In-Bytes($)","AFS1-APN2-AWS-In-Bytes($)","APS3-APN3-AWS-In-Bytes($)","EUW2-APN2-AWS-In-Bytes($)","EUW2-APN3-AWS-In-Bytes($)","EUW2-APS5-AWS-In-Bytes($)","EUW2-APE1-AWS-In-Bytes($)","EUW2-APS8-AWS-In-Bytes($)","EUW2-APS4-AWS-In-Bytes($)","AFS1-APN1-AWS-In-Bytes($)","EUW2-EBSOptimized:t3.micro($)","EUW2-AFS1-AWS-In-Bytes($)","APS3-USW1-AWS-In-Bytes($)","AFS1-USW1-AWS-In-Bytes($)","APS3-APN1-AWS-In-Bytes($)","EUW2-MXC1-AWS-In-Bytes($)","EUW2-SAE1-AWS-In-Bytes($)","APS3-NYC1-AWS-In-Bytes($)","EUW2-QRO1-AWS-In-Bytes($)","AFS1-APS3-AWS-In-Bytes($)","APS3-APN2-AWS-In-Bytes($)","AFS1-APS6-AWS-In-Bytes($)","APS3-CHI1-AWS-In-Bytes($)","EUW2-APS7-AWS-In-Bytes($)","APS3-EUS1-AWS-In-Bytes($)","Total costs($)"
"Usage type total","79.1","6.5967794567","6.4508312765","5.197285646","3.87093333","1.2316074079","0.3438263706","0.1060176","0.0239783738","0.0060011664","0.0037109371","0.0022903395","0.0022899751","0.002172113","0.000915381","0.0006656723","0.0005313776","0.0005099717","0.0003974066","0.0002677108","0.0000703729","0.0000701535","0.0000477125","0.0000456198","0.0000183861","0.0000111472","0.0000046722","0.0000040798","0.0000036421","0.0000030801","0.0000028595","0.0000027111","0.00000188","0.0000013459","0.000001281","8.847e-7","8.325e-7","8.156e-7","7.936e-7","7.206e-7","6.726e-7","6.086e-7","1.632e-7","1.376e-7","1.282e-7","1.155e-7","6.16e-8","5.04e-8","1.28e-8","6e-9","5.5e-9","3.2e-9","7e-10","7e-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102.9413064699"
"2026-05-01","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","","","","0.0000000032","0.0000003772","0.0000008885","0.0000003158","0.0000002724","0.0000006447","0.0000473739","0.000042337","0.000004484","0.0000019732","0.0000023861","0.0000005359","0.0000000708","","0.000000089","","0.0000000008","","0.0000001357","","0.0000002969","","0.0000000035","","0.0000000055","","","","","0.0000000032","0.0000000032","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9085215557"
"2026-05-02","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","0.0000000055","","","0.0000000032","0.0000003663","0.0000000032","0.0000000055","0.0000002114","0.0000006151","0.0000001649","0.0000002083","0.000001711","0.0000016256","0.0000018976","0.0000003612","0.0000001157","","0.0000000492","0.0000001358","0.0000001932","0.0000001358","0.0000001357","","","0.0000000032","0.0000000032","","","0.0000000055","0.0000000055","","","","","","0.0000000055","","","","","","","","","","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","2.9084273223"
"2026-05-03","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","0.0000000055","","","","0.0000003631","0.0000000099","0.0000000225","0.000000329","0.0000006261","0.0000003178","0.0000003341","0.000001711","0.0000001683","0.0000022697","0.0000005359","0.0000010136","","0.0000000862","","","0.0000001357","0.0000001357","","","0.0000000032","0.0000000032","","0.0000000055","0.0000000055","","","","","0.0000000032","","0.0000000055","","","","","","","","","0","0","0","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","2.9084274454"
"2026-05-04","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","0.0000000055","","","0.0000000032","0.0000086589","0.0000822883","0.0000000165","0.0000003136","0.0000055773","0.0000205291","0.0000008391","0.0000017039","0.0000009968","0.0000017616","0.0000005359","0.0000005523","0.0000046701","0.0000000513","0.0000010802","0.0000006665","0.0000000022","","","","0.000000354","0.0000003437","","","","0.0000006106","","","0.0000000032","","","","","","","","0.0000000055","0.0000000032","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","","","0","0","0","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","2.9085509277"
"2026-05-05","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","","","","","0.0000018004","0.0000000064","0.0000000165","0.0000002114","0.0000030576","0.000049365","0.0000001328","0.0000000263","0.0000009914","0.000002167","0.0000005359","0.0000003283","","0.0000002309","0.0000001358","0.0000001357","0.0000001358","0.0000000594","","","","","","0.000000011","0.0000000055","0.0000000055","","","0.0000000032","","","","","","","","","","","","0","0","0","0","0","0","0","","","0","0","","0","0","0","0","0","","0","0","0","0","","0","0","","0","0","","0","","","","","0","","","0","","","0","0","","","","","","","","","","","","","","","","","","2.908478717"
"2026-05-06","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","","","","0.0000000032","0.0000018074","0.0000000096","0.0000000055","0.0000002114","0.0000030823","0.0000014612","","0.0000016612","0.0000019559","0.0000025802","0.0000003612","0.0000001461","","0.0000000513","0.0000001383","0.0000001357","","0.0000001357","","","0.0000000096","0.0000000032","","","0.0000000055","","","","","0.0000000032","","0.000000011","","","","","","","","","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","","","0","","0","0","","","0","","","0","","0","","","","","","","","","","","","","","","","","2.9084331339"
"2026-05-07","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","0.0000000055","","","","0.0000003717","0.0000000032","0.0000000275","0.0000003136","0.0000006299","0.0000008084","0.0000004084","0.0000017083","0.0000009751","0.0000002514","0.0000005359","0.0000001754","","0.0000000578","","","0.0000001338","0.0000001358","","","","0.0000000032","","0.0000000055","","0.0000000055","","","0.0000000032","0.0000000032","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","2.9084259175"
"2026-05-08","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","0.0000000055","","","0.0000000032","0.0000003609","0.0000000064","0.0000000055","0.0000003136","0.0000012254","0.0000246818","0.0000004889","0.0000016612","0.0000009921","0.0000003228","0.0000003612","0.0000004082","","0.0000000839","","","0.0000001357","0.0000001358","","0.0000002139","0.0000000032","0.0000000032","","","0.0000000055","0.0000000055","","","0.0000000032","","","0.0000000055","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","2.9084507873"
"2026-05-09","2.4","0.211129032","0.179612904","0","0.1176774192","","","","0","0","0.0000000055","","","0.0000000032","0.0000003576","0.0000000064","0.0000006091","0.0000003168","0.0000006113","0.0000051634","0.0000002749","0.0000016875","0.0000000032","0.0000002818","0.0000005359","0.0000001123","","0.0000000641","0.0000001338","0.0000001357","","","","","","","","","","","","0.0000006031","","0.0000000032","","","","","","","","","","","","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","","","","0","","","","0","","","","","","","","","0","","","","","","","","","","","","","","","","2.908430264"
