"Usage type","EUW2-NodeUsage:cache.r7g.large($)","AFS1-NodeUsage:cache.t3.medium($)","APS3-NodeUsage:cache.t4g.medium($)","EUW2-NodeUsage:cache.t4g.medium($)","AFS1-NodeUsage:cache.t3.micro($)","Total costs($)"
"Usage type total","186.368","59.168","58.968","38.7648","0.9072","344.176"
"2026-05-01","9.8304","","","","","9.8304"
"2026-05-02","9.8304","","","","","9.8304"
"2026-05-03","9.8304","","","","","9.8304"
"2026-05-04","9.8304","","","","","9.8304"
"2026-05-05","9.8304","","","","","9.8304"
"2026-05-06","9.8304","","","","","9.8304"
"2026-05-07","9.8304","","","","","9.8304"
"2026-05-08","9.8304","","","","","9.8304"
"2026-05-09","9.8304","","","","","9.8304"
"2026-05-10","9.8304","","","","","9.8304"
"2026-05-11","9.8304","","","","","9.8304"
"2026-05-12","9.8304","","","","","9.8304"
"2026-05-13","9.8304","","","","","9.8304"
"2026-05-14","9.8304","0.1376","0.1296","","","10.0976"
"2026-05-15","9.8304","3.3024","3.1104","","","16.2432"
"2026-05-16","9.8304","3.3024","3.1104","","","16.2432"
"2026-05-17","9.8304","3.3024","3.1104","","","16.2432"
"2026-05-18","9.8304","3.3024","3.1104","","","16.2432"
"2026-05-19","9.4208","3.3024","3.1104","0.2304","","16.064"
"2026-05-20","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-21","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-22","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-23","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-24","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-25","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-26","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-27","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-28","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-29","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-30","","3.3024","3.1104","2.7648","","9.1776"
"2026-05-31","","3.3024","3.1104","2.7648","","9.1776"
"2026-06-01","","2.8896","3.1104","2.7648","0.1344","8.8992"
"2026-06-02","","","2.8512","2.592","0.7728","6.216"
"2026-06-03","","","","","","0"
