"Usage type","EUW2-PublicIPv4:InUseAddress($)","APS3-PublicIPv4:InUseAddress($)","AFS1-PublicIPv4:InUseAddress($)","EUW2-PublicIPv4:IdleAddress($)","APS3-PublicIPv4:IdleAddress($)","AFS1-PublicIPv4:IdleAddress($)","Total costs($)"
"Usage type total","18.61540834","13.73592701","8.915798625","0.00225279","0.00206252","0.00118612","41.272635405"
"2026-05-01","0.48","0.12","0.12","","","","0.72"
"2026-05-02","0.484697225","0.12","0.12","0.00016667","","","0.724863895"
"2026-05-03","0.48","0.12","0.12","","","","0.72"
"2026-05-04","0.48","0.12","0.12","","","","0.72"
"2026-05-05","0.48","0.12","0.12","","","","0.72"
"2026-05-06","0.48","0.12","0.12","","","","0.72"
"2026-05-07","0.48176389","0.12","0.12","0.00019028","","","0.72195417"
"2026-05-08","0.48","0.12","0.12","","","","0.72"
"2026-05-09","0.48","0.12","0.12","","","","0.72"
"2026-05-10","0.491541665","0.12","0.12","0.000981945","","","0.73252361"
"2026-05-11","0.6","0.12","0.12","","","","0.84"
"2026-05-12","0.60090139","0.12","0.12","0.000208335","","","0.841109725"
"2026-05-13","0.6","0.12","0.12","","","","0.84"
"2026-05-14","0.6","0.353133335","0.238730555","","0.001304175","0.00021667","1.193384735"
"2026-05-15","0.6009125","0.621348675","0.36","0.000206945","","","1.58246812"
"2026-05-16","0.6","0.63823061","0.36","","","","1.59823061"
"2026-05-17","0.6","0.63795148","0.36","","","","1.59795148"
"2026-05-18","0.600919445","0.63874308","0.36","0.00019028","","","1.599852805"
"2026-05-19","0.6","0.638719515","0.364122225","","","0.00037778","1.60321952"
"2026-05-20","0.6","0.63869729","0.36","","","","1.59869729"
"2026-05-21","0.6","0.640434765","0.36","","0.00038334","","1.600818105"
"2026-05-22","0.6","0.63870419","0.36","","","","1.59870419"
"2026-05-23","0.6","0.638719445","0.36","","","","1.598719445"
"2026-05-24","0.6","0.63872923","0.36","","","","1.59872923"
"2026-05-25","0.6","0.638730575","0.36","","","","1.598730575"
"2026-05-26","0.6","0.6388973","0.36","","","","1.5988973"
"2026-05-27","0.6","0.638686135","0.36","","","","1.598686135"
"2026-05-28","0.6","0.576913885","0.36","","","","1.536913885"
"2026-05-29","0.60092639","0.60009861","0.362768055","0.000194445","","0.0003875","1.564375"
"2026-05-30","0.6","0.602787505","0.36","","","","1.562787505"
"2026-05-31","0.6","0.601305555","0.36","","","","1.561305555"
"2026-06-01","0.6","0.60509583","0.438179175","","0.000375005","","1.64365001"
"2026-06-02","0.593745835","0.55","0.551998615","0.00011389","","0.00020417","1.69606251"
"2026-06-03","","","","","","","0"
