"Service","Relational Database Service($)","ElastiCache($)","Tax($)","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","CloudWatch($)","WAF($)","Secrets Manager($)","Lightsail($)","Route 53($)","S3($)","EC2 Container Registry (ECR)($)","Elastic Container Service($)","CloudShell($)","Key Management Service($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Certificate Manager($)","Data Transfer($)","Total costs($)"
"Service total","578.2333476633","371.4296","284.36","183.3391212137","137.3615464861","54.1859137259","50.54692431","15.9514672615","11.1515269702","9.6649601668","8.5516605146","1.0188392","0.3029074122","0.1208964438","0.0641929448","1.508e-7","0","0","0","0","0","0","-0.0723664264","1706.2105380373"
"2026-03-01","0.0000152729","","0","","","","0","0","","","0","","","","","","","","","","","","-0.0000152718","1.1e-9"
"2026-03-02","0.0000008664","","","","","","0","0","","","0","","","","","","","","","","","","-0.0000008656","8e-10"
"2026-03-03","0.0008284525","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0008284522","3e-10"
"2026-03-04","0.0001163285","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0001163278","7e-10"
"2026-03-05","0.0003753051","","","","","","0","0","","","0","","","","","0.0000000821","0","","","","","","-0.0003753876","-4e-10"
"2026-03-06","0.0011973141","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0011973138","3e-10"
"2026-03-07","0.003532935","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0035329352","-2e-10"
"2026-03-08","0.0046260389","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0046260386","3e-10"
"2026-03-09","0.0000620257","","","","","","0","0","","","0","","","","","","","","","","","","-0.000062026","-3e-10"
"2026-03-10","0.0012993702","","","","","","0","0","","","0","","","","","","0","","","","","","-0.00129937","2e-10"
"2026-03-11","0.0026870898","","","","","","0","0","","","0","","","","","","0","0","","","","","-0.0026870894","4e-10"
"2026-03-12","0.0004687065","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0004687068","-3e-10"
"2026-03-13","0.0006999726","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0006999724","2e-10"
"2026-03-14","0.0062775848","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0062775848","0"
"2026-03-15","0.0005562349","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0005562346","3e-10"
"2026-03-16","0.0107905379","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0107905374","5e-10"
"2026-03-17","0.0000583161","","","","","","0","0","","","0","","","","","","","","","","","","-0.0000583154","7e-10"
"2026-03-18","0.0000562328","","","","","","0","0","","","0","","","","","","","","","","","","-0.0000562326","2e-10"
"2026-03-19","0.0002116352","","","","","","0","0","","","0","","","","","","","","","","","","-0.0002116352","0"
"2026-03-20","0.0001217406","","","","","","0","0","","","0","","","","","","","","","","","","-0.0001217404","2e-10"
"2026-03-21","0.000056234","","","","","","0","0","","","0","","","","","","","","","","","","-0.000056234","0"
"2026-03-22","0.0000562783","","","","","","0","0","","","0","","","","","","","","","","","","-0.0000562778","5e-10"
"2026-03-23","0.0000561381","","","","","","0","0","","","0","","","","","","","","","","","","-0.0000561378","3e-10"
"2026-03-24","0.0019997503","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0019997508","-5e-10"
"2026-03-25","0.0028845898","","","","","","0","0","","","0","","","","","","0","","","","","","-0.00288459","-2e-10"
"2026-03-26","0.0055280703","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0055280704","-1e-10"
"2026-03-27","0.0000561068","","","","","","0","0","","","0","","","","","","","","","","","","-0.0000561066","2e-10"
"2026-03-28","0.0010410591","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0010410592","-1e-10"
"2026-03-29","0.0029598318","","","","","","0","0","","","0","","0.0000000088","","","","0","","0","0","","","-0.0029598404","2e-10"
"2026-03-30","0.0232752627","","","","","","0","0","","","0","","","","","","0","","","","","","-0.0232752628","-1e-10"
"2026-03-31","0.0004710589","","","","","","0","0","","","0","","","","","","0","","","","","","-0.000471059","-1e-10"
"2026-04-01","0.4645621661","","38.33","","","","0.12","0.6","","","0","","","","","","0","","","","","","","39.5145621661"
"2026-04-02","0.4645994861","","","","","","0.12","0.6","","","0","","","","","","0","","","","","","","1.1845994861"
"2026-04-03","0.4646314979","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1846314979"
"2026-04-04","0.4644613127","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1844613127"
"2026-04-05","0.4647269901","","","","","","0.12","0.6","","","0","","","","","","0","","","","","","","1.1847269901"
"2026-04-06","0.4645021744","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1845021744"
"2026-04-07","0.4663208052","","","","","","0.12","0.6","","","0","","","","","","0","","","","","","","1.1863208052"
"2026-04-08","0.4649116009","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1849116009"
"2026-04-09","0.4644652012","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1844652012"
"2026-04-10","0.4652926138","","","","","","0.12","0.6","","","0","","","","","","0","","","","","","","1.1852926138"
"2026-04-11","0.4647558888","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1847558888"
"2026-04-12","0.4647936552","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1847936552"
"2026-04-13","0.4644240047","","","","","","0.12","0.6","","","0","","","","","","","","","","","","","1.1844240047"
"2026-04-14","0.4647044915","","","","","","0.12","0.6","","0.000005","0","","0.0000200091","","","","0","0","0","0","","","","1.1847295006"
"2026-04-15","0.4645704938","","","","","","0.12","0.6","","0.000005","0","","0.0000200091","","","","0","0","0","","","","","1.1845955029"
"2026-04-16","0.4662069281","","","","","","0.12","0.6","","","0","","","","","","0","0","","0","","","","1.1862069281"
"2026-04-17","0.4746303845","","","0","0.9000003224","","0.209644445","0.6","","0.00002","0.0383795844","","0.0000821975","","","","0","0","0","0","","","","2.2227569338"
"2026-04-18","0.464468809","1.2288","","0","2.4000291086","0.2381429178","0.40307639","0.6","","0.0268629634","0.0921110026","","0.0000228307","0.0007439202","0.0037853332","0.0000000687","0","0","0","0","0","","","5.4580433442"
"2026-04-19","0.4645826003","0","","0","2.4001833319","0.635169651","0.490997225","0.6","","0.0534483376","0.0921110026","","0.0000050018","0.002735916","0.0066243331","","0","0","0","","","","","4.7458573993"
"2026-04-20","0.4646255882","0","","0","2.400597886","0.6350482906","0.490977785","0.6","","0.1345128623","0.0921110026","","0.0000150073","0.0027359178","0.0537832785","","0","0","","","0","","","4.8744076183"
"2026-04-21","0.464851243","0","","0","2.4000005246","0.635050629","0.48","0.6","","0.2133483504","0.0921110026","","0.0000300018","0.0027359208","","","0","0","0","0","","","","4.8881276722"
"2026-04-22","0.4647448341","0","","0","2.4000004025","0.6350478616","0.48","0.6","","0.2134283504","0.0921110026","","0.0000200016","0.0027359208","","","","0","0","0","","","","4.8880883736"
"2026-04-23","0.466154113","0","","0","2.4000002372","0.6350657176","0.48","0.6","","0.2133333504","0.0921110026","","0.0000158507","0.0027359208","","","0","0","","0","","","","4.8894161923"
"2026-04-24","0.5074519329","0","","0.5564355608","2.4799405049","0.6350674509","0.53898611","0.6","","0.2147764731","0.0921110026","","0","0.0027359208","","","0","0","","","","","","5.627504956"
"2026-04-25","0.9178188217","0","","1.1322886824","2.5856025121","0.6350666391","0.5829","0.5","","0.2266666848","0.1046188221","","0","0.0027359208","","","0","0","","","","","","6.687698083"
"2026-04-26","0.5452845245","0","","1.1328","2.5856325105","0.6350661861","0.48","0","","0.2266666848","0.2121110026","","0.00025218","0.0027359208","","","","0","","","","","","5.8205490093"
"2026-04-27","5.4015943805","0","","1.7392277028","2.6919231667","0.6350644382","0.55770695","0","","0.2266816848","0.2121110026","","0.0030700352","0.0027359208","","","0","0","0","0","","","","11.4701152816"
"2026-04-28","20.1722710769","6.364","","3.5088","2.9254994896","0.6350662891","0.72","0","","0.2266766848","0.2121110026","","0.006990374","0.0027359208","","","0","0","0","0","","","","34.7741508378"
"2026-04-29","20.1691888016","9.8304","","3.5088","2.9254049453","0.6350709652","0.72","0","","0.2266666848","0.2121110026","","0.0069658","0.0027359208","","","0","0","","","","","","38.2373441203"
"2026-04-30","20.1691888016","9.8304","","3.5088","2.9254250739","0.6350984701","0.72","0","","0.2267616848","0.12","","0.00696458","0.0027359208","","","","0","","","","","","38.1453745312"
